# This file is part of tsunami_lab.
# @author Alexander Breuer, alex.breuer AT uni-jena.de
#
# This file contains a collection of middle state water heights $h^*$ for the homogenous
# shallow water equations and given initial values $\begin{bmatrix}h \\  hu \end{bmatrix}_l$ and
# $\begin{bmatrix} h \\ hu \end{bmatrix}_r$ in a Riemann problem.
#
hLeft,hRight,huLeft,huRight,hStar
8899.326826472694,8899.326826472694,122.0337839252433,-122.0337839252433,8899.739847378269
9894.065328676988,9894.065328676988,763.616897222239,-763.616897222239,9896.516538751875
1387.176994373967,1387.176994373967,-101.9619713277172,101.9619713277172,1386.303079031417
9976.904476606509,9976.904476606509,-906.6229611756387,906.6229611756387,9974.006714260977
6907.360046520149,6907.360046520149,-180.6064611678331,180.6064611678331,6906.666250464617
1065.53384380855,1065.53384380855,64.19327065348772,-64.19327065348772,1066.161808657808
3042.136044684769,3042.136044684769,-27.52440428024561,27.52440428024561,3041.976718035753
5973.686834276039,5973.686834276039,417.2334213893989,-417.2334213893989,5975.410506492273
10458.94716344883,10458.94716344883,-366.1438461063776,366.1438461063776,10457.80412356421
10539.5774699817,10539.5774699817,-988.5578370907829,988.5578370907829,10536.50332526859
